Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1891,8,1,985,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,8,1,986,75,"""Midnight Storm""",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1893,8,3,954,100,"""Sea Islands""",0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0
1893,9,2,970,85,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,10,4,948,115,"""Chenier Caminanda""",2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
1893,10,3,955,105,-----,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1
1894,9,2,975,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1894,10,3,950,105,-----,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1895,8,1,963,65,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1896,7,2,970,85,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,9,1,985,70,-----,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1896,9,3,960,110,-----,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1897,9,1,978,75,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1898,8,1,982,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,8,1,980,75,-----,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1898,10,4,938,115,-----,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,8,2,979,85,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,8,3,945,105,-----,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1899,10,2,955,95,-----,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
1900,9,4,936,120,"""Galveston""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1901,7,1,983,70,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1901,8,1,973,75,-----,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1903,9,1,974,80,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,9,1,990,70,-----,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1904,9,1,985,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1904,10,1,985,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,6,1,979,75,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,9,1,977,80,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1906,9,2,958,95,-----,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1906,10,3,953,105,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,7,1,985,70,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1909,6,2,972,85,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1909,7,3,959,100,"""Velasco""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1909,8,1,955,65,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1909,9,3,952,105,"""Grand Isle""",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
1909,10,3,957,100,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,9,2,965,90,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1910,10,2,955,95,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,8,1,982,70,-----,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,8,2,972,85,-----,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1912,9,1,986,65,-----,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,10,2,970,85,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1913,6,1,986,65,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1913,9,1,976,75,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1913,10,1,989,65,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1915,8,1,990,65,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,8,4,940,115,"""Galveston""",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
1915,9,1,982,80,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,9,3,944,110,"""New Orleans""",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
1916,7,3,950,105,-----,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1916,7,2,960,95,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1916,8,4,932,115,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1916,10,2,970,95,-----,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,9,3,949,100,-----,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,8,3,955,105,-----,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
1918,8,1,988,65,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1919,9,4,927,130,-----,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1920,9,2,975,85,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,6,1,980,80,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1921,10,3,958,100,"""Tampa Bay""",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,10,1,983,70,-----,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1924,8,1,963,65,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1924,9,1,980,75,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,10,1,975,80,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,7,2,967,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,8,3,955,100,-----,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,9,4,930,125,"""Great Miami""",3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1926,10,1,949,75,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,8,2,977,85,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,9,4,929,125,"""Lake Okeechobee",0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1929,6,1,982,80,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1929,9,3,948,100,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,8,4,935,130,"""Freeport""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1932,9,1,979,75,-----,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,7,1,975,80,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1933,8,1,963,80,-----,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1933,9,3,940,110,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1933,9,3,948,110,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,9,2,952,85,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
1934,6,2,966,85,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,7,1,979,75,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
